1 input_2_1 AGM6 Test Case.asc  Feb 17 2025 12:34:45
  0  0 53
time,vmach_m1,psiblx_m1,thtblx_m1,phiblx_m1,SBEL1_m1,SBEL2_m1,SBEL3_m1,VBEL1_m1,VBEL2_m1,VBEL3_m1,mseek_m1,mach_t1,SAEL1_t1,SAEL2_t1,SAEL3_t1,VAEL1_t1,VAEL2_t1,VAEL3_t1,psivlx_t1,thtvlx_t1,alt_t1,aax_t1,alx_t1,anx_t1,mach_a1,SAEL1_a1,SAEL2_a1,SAEL3_a1,VAEL1_a1,VAEL2_a1,VAEL3_a1,psivlx_a1,thtvlx_a1,alt_a1,STCEL11_a1,STCEL12_a1,STCEL13_a1,VTCEL11_a1,VTCEL12_a1,VTCEL13_a1,STCEL21_a1,STCEL22_a1,STCEL23_a1,VTCEL21_a1,VTCEL22_a1,VTCEL23_a1,STCEL31_a1,STCEL32_a1,STCEL33_a1,VTCEL31_a1,VTCEL32_a1,VTCEL33_a1,
10,1.03068,-1.02295,9.2853,-0.974404,3021.83,30.757,-6798.12,321.194,10.5248,7.11118,2,0.0147098,33004.9,9950.32,-100,0.975694,-4.9039,0,-78.7472,-0,100,0,0.01,1,0.942578,2937.33,0,-6953.34,294.515,0,4.92352,0,-0.957746,6953.34,33036.7,9910.81,-188.781,0.239228,-5.17088,0.623231,0,0,0,0,0,0,0,0,0,0,0,0,
11,1.04152,-0.600225,9.6718,-0.803841,3344.83,42.3452,-6793.1,324.771,12.6657,2.95577,2,0.0147098,33005.9,9945.42,-100,1.07181,-4.88379,0,-77.622,-0,100,0,0.01,1,0.94304,3231.92,0,-6948.42,294.679,0,4.92625,0,-0.957746,6948.42,32992.2,9992.86,-106.183,1.02446,-4.73152,-0.828677,0,0,0,0,0,0,0,0,0,0,0,0,
12,1.05217,-0.186925,9.98855,-0.639058,3671.33,56.1137,-6792.16,328.205,14.8812,-1.04198,2,0.0147098,33007,9940.55,-100,1.16751,-4.86181,0,-76.4968,-0,100,0,0.01,1,0.943502,3526.68,0,-6943.49,294.842,0,4.92899,0,-0.957746,6943.49,33013.3,9951.86,-139.316,1.27014,-4.64482,0.294003,0,0,0,0,0,0,0,0,0,0,0,0,
13,1.06269,0.206692,10.25,-0.479384,4001.2,72.1229,-6795.11,331.524,17.1418,-4.8276,2,0.0147098,33008.3,9935.7,-100,1.26275,-4.83794,0,-75.3716,-0,100,0,0.01,1,0.943964,3821.61,0,-6938.56,295.006,0,4.93173,0,-0.957746,6938.56,33011,9938.17,-117.238,1.25256,-5.48097,-0.573597,0,0,0,0,0,0,0,0,0,0,0,0,
14,1.07308,0.609874,10.4965,-0.332611,4334.34,90.4086,-6801.74,334.737,19.4385,-8.39881,2,0.0147099,33009.6,9930.87,-100,1.35752,-4.81222,0,-74.2463,-0,100,0,0.01,1,0.944426,4116.7,0,-6933.63,295.17,0,4.93447,0,-0.957746,6933.63,33006.7,9969.81,-152.073,1.16532,-4.71698,0.671751,0,0,0,0,0,0,0,0,0,0,0,0,
15,1.08333,1.00767,10.7356,-0.20264,4670.64,111.018,-6811.84,337.843,21.7876,-11.7765,2,0.0147099,33011,9926.07,-100,1.45176,-4.78463,0,-73.1211,-0,100,0,0.01,1,0.944888,4411.95,0,-6928.69,295.334,0,4.9372,0,-0.957746,6928.69,33015.2,9936.83,-134.746,1.86431,-4.88076,0.293927,0,0,0,0,0,0,0,0,0,0,0,0,
16,1.0934,1.39739,10.9673,-0.0821297,5009.99,133.995,-6825.24,340.841,24.1708,-14.9854,2,0.0147099,33012.5,9921.3,-100,1.54543,-4.7552,0,-71.9959,-0,100,0,0.01,1,0.945349,4707.36,0,-6923.75,295.497,0,4.93994,0,-0.957746,6923.75,33034.9,9897.55,-153.065,1.46108,-5.27886,-0.128843,0,0,0,0,0,0,0,0,0,0,0,0,
17,1.10331,1.79682,11.1764,0.0218992,5352.29,159.372,-6841.76,343.738,26.5904,-18.0266,2,0.0147099,33014.1,9916.57,-100,1.63852,-4.72394,0,-70.8707,-0,100,0,0.01,1,0.945811,5002.94,0,-6918.81,295.661,0,4.94268,0,-0.957746,6918.81,33018.1,9908.04,-97.5185,1.41897,-4.60384,0.235578,0,0,0,0,0,0,0,0,0,0,0,0,
18,1.11312,2.18531,11.426,0.0448089,5697.44,187.193,-6861.24,346.559,29.0571,-20.9145,2,0.0147099,33015.7,9911.86,-100,1.73097,-4.69085,0,-69.7455,-0,100,0,0.01,1,0.946272,5298.69,0,-6913.87,295.825,0,4.94542,0,-0.957746,6913.87,33024.7,9900.47,-114.426,2.59843,-5.3205,0.410372,0,0,0,0,0,0,0,0,0,0,0,0,
19,1.12283,2.57811,11.6427,0.0621233,6045.38,217.493,-6883.55,349.305,31.5489,-23.6874,2,0.0147099,33017.5,9907.18,-100,1.82275,-4.65596,0,-68.6203,-0,100,0,0.01,1,0.946734,5594.59,0,-6908.92,295.989,0,4.94815,0,-0.957746,6908.92,33030.6,9873.74,-103.615,1.70807,-4.29827,-0.199855,0,0,0,0,0,0,0,0,0,0,0,0,
