1 input_arc.asc Arc-guidance, three waypoints ' Hypersonic Vehicle ' Jan 23 2025 14:46:05
  0  0 98
time,vmach,pdynmc,psibd,psibdx,thtbdx,phibdx,alppx,alphax,betax,alphaix,betaix,ppx,qqx,rrx,lonx,latx,alt,dvbe,dvbi,psivdx,thtvdx,dbi,ayx,anx,throttle,vmass,fmassr,thrustx,roll_count,pitch_count,yaw_count,stmarg,gavail_pos,gmax,gavail_neg,gminx,wnp,azabx,elabx,dab,ddab,semi_major,semi_minor,eaz,eel,edab,eddab,RICI1,RICI2,RICI3,ESBI1,ESBI2,ESBI3,aycomx,azcomx,tgoc,SBTHC1,SBTHC2,SBTHC3,UTBC1,UTBC2,UTBC3,lamd,SBTL1,SBTL2,SBTL3,delacx,delecx,delrcx,alcomx,ancomx,phicomx,delax,delex,delrx,elvlx,elvrx,miss,MISS_I1,MISS_I2,MISS_I3,event,dbt,MISS_H1,MISS_H2,MISS_H3,MISS_L1,MISS_L2,MISS_L3,SXH1,SXH2,SXH3,std_pos,std_ucbias,URIC1,URIC2,URIC3,
2,3.12746,181574,0.523845,30.0141,1.84593,0.0213702,2.47354,2.34985,0.00105766,2.25821,16.3431,0.0200978,0.488042,0.00502157,45.0106,35.0151,9994.95,936.758,1175.29,30.0144,-0.505703,6.38117e+06,0.000474464,0.717369,0.686737,135974,81543.3,3840.32,0,0,0,0.0401033,2.43518,3,-2.56482,-2,2.61685,0,0,0,0,0,0,0,0,0,0,-0.00104855,0.000152652,-0.000632493,9.71609,-4.19686,5.09533,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116342,-7.60082,0.0282231,0,1.38552,0,-0.0115611,-7.59642,0.0280191,-7.60798,-7.58486,0,0,0,0,25002,6.38117e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.2,3.12273,181072,0.523874,30.0157,1.9541,0.0255276,2.56408,2.48405,0.0011136,2.38665,16.3617,0.0212256,0.578978,0.00515287,45.0117,35.0165,9993.26,935.39,1173.98,30.0158,-0.530712,6.38117e+06,0.000496613,0.876829,0.730195,135940,81509.1,4204.51,0,0,0,0.0398427,2.28432,3,-2.71568,-2,2.60978,0,0,0,0,0,0,0,0,0,0,-0.00104833,0.000152949,-0.00063258,9.72018,-4.17806,5.09613,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121838,-7.50684,0.0297546,0,1.44933,0,-0.0121036,-7.52936,0.029532,-7.54146,-7.51726,0,0,0,0,25002,6.38117e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.4,3.11948,180743,0.523903,30.0174,2.07673,0.0299252,2.66529,2.61265,0.00117372,2.51287,16.3743,0.0224764,0.629466,0.00529623,45.0127,35.018,9991.51,934.458,1173.09,30.0173,-0.535711,6.38116e+06,0.000521802,1.03213,0.758305,135904,81473.1,4448.92,0,0,0,0.0396012,2.13743,3,-2.86257,-2,2.60404,0,0,0,0,0,0,0,0,0,0,-0.00104808,0.000153249,-0.00063269,9.72445,-4.15926,5.09703,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127885,-7.30719,0.0314245,0,1.49792,0,-0.0127003,-7.33986,0.0311824,-7.35256,-7.32716,0,0,0,0,25002,6.38116e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.6,3.1172,180527,0.523933,30.0192,2.20632,0.0344642,2.76485,2.72942,0.00122661,2.63043,16.3828,0.00868564,0.646327,0.00569589,45.0137,35.0195,9989.78,933.811,1172.47,30.0188,-0.521994,6.38116e+06,0.000186333,1.17519,0.77734,135867,81436,4615.64,0,0,0,0.0393863,2.00213,3,-2.99787,-2,2.59942,0,0,0,0,0,0,0,0,0,0,-0.00104783,0.000153551,-0.000632812,9.72888,-4.14058,5.09804,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417106,-7.02264,0.034859,0,1.5307,0,-0.0413345,-7.06679,0.0331408,-7.10813,-7.02546,0,0,0,0,25002,6.38116e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.8,3.11557,180383,0.523965,30.021,2.33667,0.0313818,2.85467,2.8301,0.000906225,2.73701,16.3883,0.02427,0.635128,0.00400672,45.0147,35.0209,9988.13,933.352,1172.03,30.0204,-0.491552,6.38116e+06,0.000779185,1.30053,0.789978,135829,81398,4730.77,0,0,0,0.0392034,1.88359,3,-3.11641,-2,2.59578,0,0,0,0,0,0,0,0,0,0,-0.00104756,0.00015385,-0.000632918,9.73343,-4.1221,5.09916,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112632,-6.68685,0.019127,0,1.5478,0,-0.001201,-6.73577,0.0254304,-6.73698,-6.73457,0,0,0,0,25002,6.38116e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,3.11437,180287,0.523993,30.0226,2.4627,0.0329078,2.92974,2.91213,0.000907561,2.82604,16.3924,-0.0335639,0.602068,0.00562707,45.0157,35.0224,9986.6,933.018,1171.71,30.0219,-0.446901,6.38116e+06,0.000715485,1.40444,0.798567,135790,81359.5,4811.51,0,0,0,0.0390552,1.78528,3,-3.21472,-2,2.59302,0,0,0,0,0,0,0,0,0,0,-0.0010473,0.000154149,-0.000633029,9.73807,-4.10387,5.10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00712953,-6.3253,0.0359627,0,1.54999,0,-0.0135998,-6.37684,0.0354226,-6.39044,-6.36324,0,0,0,0,25002,6.38116e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.2,3.11346,180220,0.52402,30.0241,2.58057,0.0335963,2.98746,2.97444,0.000980876,2.89758,16.3954,0.0126582,0.552657,0.004557,45.0168,35.0238,9985.23,932.769,1171.48,30.0234,-0.390836,6.38115e+06,-3.95019e-05,1.4852,0.804569,135752,81320.5,4868.97,0,0,0,0.0389428,1.70882,3,-3.29118,-2,2.59107,0,0,0,0,0,0,0,0,0,0,-0.00104706,0.000154445,-0.000633126,9.74276,-4.08594,5.10184,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310087,-5.95579,0.0226942,0,1.53848,0,-0.0211394,-6.00717,0.0188785,-6.02831,-5.98603,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.4,3.11277,180171,0.524048,30.0257,2.68744,0.0314678,3.02703,3.01712,0.00078998,2.95178,16.3972,0.0176973,0.491387,0.00387511,45.0178,35.0253,9984.06,932.578,1171.3,30.025,-0.326296,6.38115e+06,0.000797727,1.54054,0.808222,135712,81281.3,4904.49,0,0,0,0.0388677,1.65624,3,-3.34376,-2,2.58993,0,0,0,0,0,0,0,0,0,0,-0.00104682,0.000154737,-0.0006332,9.7475,-4.06835,5.10341,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0077932,-5.66185,0.018111,0,1.51486,0,0.00160009,-5.68339,0.0241055,-5.68179,-5.68499,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.6,3.11222,180135,0.524075,30.0273,2.78157,0.0331308,3.04935,3.04168,0.000862741,2.98768,16.3988,-0.0295758,0.42682,0.00535537,45.0188,35.0267,9983.12,932.43,1171.16,30.0265,-0.256534,6.38115e+06,0.000502677,1.57162,0.810531,135673,81241.9,4926.5,0,0,0,0.0388256,1.62657,3,-3.37343,-2,2.58947,0,0,0,0,0,0,0,0,0,0,-0.00104661,0.000155028,-0.000633265,9.75226,-4.05111,5.10515,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000496318,-5.41408,0.0327945,0,1.48125,0,-0.0169501,-5.46515,0.0311597,-5.4821,-5.4482,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.8,3.1118,180106,0.524101,30.0288,2.86245,0.0334906,3.05591,3.04994,0.000932254,3.00818,16.3999,0.0131694,0.356926,0.0043597,45.0198,35.0282,9982.4,932.315,1171.05,30.028,-0.18382,6.38115e+06,-5.10574e-05,1.58692,0.81274,135633,81202.4,4945.8,0,0,0,0.03881,1.61176,3,-3.38824,-2,2.58947,0,0,0,0,0,0,0,0,0,0,-0.00104642,0.000155314,-0.000633307,9.75703,-4.03423,5.10707,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286697,-5.0639,0.0207799,0,1.43922,0,-0.0177787,-5.10679,0.017163,-5.12457,-5.08901,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
