1 input_climb.asc HYPER3 Two-phased climb  ' HYPER3 ' Dec 31 2024 09:11:24
  0  0 23
time,FSPV1,FSPV2,FSPV3,pdynmc,mach,lonx,latx,alt,dvbe,psivgx,thtvgx,SBEG1,SBEG2,SBEG3,VBEG1,VBEG2,VBEG3,throttle,mass,thrust,fmassr,cl_ov_cd,
4.6,-2.63833,0,-17.6185,23970.8,0.703534,-80.5387,28.43,3104.54,230.83,90.0394,10.5433,-0.371369,1102.9,-104.536,-0.156024,226.933,-42.2372,0.2,135991,252856,81560.2,3.8788,
4.8,-2.58744,0,-17.4666,23766.1,0.700908,-80.5382,28.43,3113.12,229.944,90.0411,10.9397,-0.403178,1148.17,-113.124,-0.162057,225.766,-43.6379,0.2,135987,253228,81556.4,3.88657,
5,-2.53679,0,-17.3146,23561.2,0.698273,-80.5378,28.43,3121.99,229.055,90.0429,11.3306,-0.436188,1193.21,-121.989,-0.168024,224.591,-45.0025,0.2,135984,253581,81552.6,3.89438,
5.2,-2.4864,0,-17.1624,23356.1,0.695632,-80.5373,28.43,3131.12,228.163,90.0446,11.7161,-0.470384,1238.01,-131.123,-0.173926,223.409,-46.3313,0.2,135980,253915,81548.8,3.90224,
5.4,-2.43628,0,-17.0102,23150.8,0.692983,-80.5368,28.43,3140.52,227.268,90.0463,12.0961,-0.505753,1282.57,-140.519,-0.179761,222.222,-47.6244,0.2,135976,254230,81544.9,3.91014,
5.6,-2.38644,0,-16.858,22945.5,0.690329,-80.5364,28.43,3150.17,226.371,90.0481,12.4705,-0.542284,1326.9,-150.17,-0.185531,221.03,-48.8819,0.2,135972,254526,81541.1,3.91809,
5.8,-2.33691,0,-16.7059,22740.3,0.687668,-80.5359,28.43,3160.07,225.471,90.0498,12.8394,-0.579961,1370.98,-160.069,-0.191235,219.833,-50.1041,0.2,135968,254804,81537.2,3.92608,
6,-2.28768,0,-16.5539,22535.1,0.685001,-80.5355,28.43,3170.21,224.569,90.0516,13.2028,-0.618773,1414.83,-170.209,-0.196873,218.633,-51.2911,0.2,135964,255062,81533.4,3.93412,
6.2,-2.23879,0,-16.402,22330,0.682329,-80.5351,28.43,3180.58,223.664,90.0533,13.5605,-0.658706,1458.43,-180.583,-0.202447,217.429,-52.4431,0.2,135961,255302,81529.6,3.9422,
6.4,-2.19023,0,-16.2502,22125.2,0.679651,-80.5346,28.43,3191.18,222.757,90.0551,13.9127,-0.699748,1501.8,-191.184,-0.207955,216.222,-53.5604,0.2,135957,255524,81525.7,3.95032,
6.6,-2.14202,0,-16.0988,21920.6,0.676969,-80.5342,28.43,3202.01,221.849,90.0569,14.2592,-0.741884,1544.92,-202.005,-0.213399,215.014,-54.6432,0.2,135953,255727,81521.9,3.95848,
6.8,-2.09417,0,-15.9476,21716.4,0.674283,-80.5337,28.43,3213.04,220.939,90.0586,14.6,-0.785103,1587.81,-213.039,-0.218779,213.804,-55.6918,0.2,135949,255911,81518,3.96669,
7,-2.04669,0,-15.7967,21512.5,0.671592,-80.5333,28.43,3224.28,220.027,90.0604,14.9351,-0.829391,1630.45,-224.279,-0.224095,212.594,-56.7063,0.2,135945,256077,81514.1,3.97493,
7.2,-1.99959,0,-15.6462,21309.1,0.668898,-80.5329,28.43,3235.72,219.113,90.0622,15.2645,-0.874737,1672.84,-235.719,-0.229348,211.383,-57.6871,0.2,135941,256225,81510.3,3.98321,
7.4,-1.95288,0,-15.4961,21106.1,0.6662,-80.5324,28.43,3247.35,218.198,90.0639,15.5881,-0.921127,1715,-247.352,-0.234539,210.173,-58.6344,0.2,135937,256354,81506.4,3.99153,
7.6,-1.90657,0,-15.3464,20903.7,0.663499,-80.532,28.43,3259.17,217.282,90.0657,15.906,-0.968548,1756.91,-259.171,-0.239668,208.963,-59.5485,0.2,135934,256466,81502.5,3.99989,
7.8,-1.86067,0,-15.1972,20701.9,0.660795,-80.5316,28.43,3271.17,216.365,90.0675,16.2182,-1.01699,1798.58,-271.169,-0.244735,207.755,-60.4298,0.2,135930,256560,81498.7,4.00828,
8,-1.81519,0,-15.0485,20500.7,0.658089,-80.5312,28.43,3283.34,215.447,90.0693,16.5245,-1.06644,1840.01,-283.341,-0.249742,206.548,-61.2784,0.2,135926,256637,81494.8,4.01671,
8.2,-1.77012,0,-14.9003,20300.3,0.65538,-80.5307,28.43,3295.68,214.528,90.0711,16.8249,-1.11688,1881.2,-295.679,-0.254689,205.344,-62.0947,0.2,135922,256695,81490.9,4.02518,
8.4,-1.72549,0,-14.7527,20100.5,0.65267,-80.5303,28.43,3308.18,213.608,90.0729,17.1196,-1.16831,1922.15,-308.176,-0.259577,204.143,-62.879,0.2,135918,256737,81487.1,4.03368,
8.6,-1.68129,0,-14.6057,19901.5,0.649958,-80.5299,28.43,3320.83,212.687,90.0746,17.4083,-1.22071,1962.86,-320.828,-0.264407,202.945,-63.6316,0.2,135914,256761,81483.2,4.04221,
