1 input_SAM_RF_AC_Radar_#1_#2_#3.asc ' SAM3 vs AC3 ' Mar  6 2026 15:53:19
  0  0 93
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            cyb             
clnb            cna             clma            stmarg_pitch    gavail          
gmax            stmarg_yaw      dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            zacl            
pacl            wrcl            zrate           wnlagr          ancomx_test     
alcomx_test     dpx             dqx             drx             delx1           
delx2           delx3           delx4           miss            MISS1           
MISS2           MISS3           mode            dbt             psiptx          
thtptx          aztbx           eltbx           dab             ddab            
snr_db          onax            epsic           ethtc           psisb           
thtsb           lamdqb          lamdrb          
78.9            0               0.002           0.047011        156.752         
-160            30              0.000810285     0.015229        0.00134748      
0.015229        2.44039e-19     6.27428e-23     5.37658e-08     -1.92854e-24    
-0.0195312      -0.00710877     -0.0119878      15.9928         0.0119878       
-160            29.9543         1.09141e-05     -1.70409e-22    299.98          
60.0015         2.8999          2.8998          439.94          -15.3127        
-3.61375        15.7158         1.61445         -0.102728       0.0373006       
0.0373115       -0.235997       19999.7         0               1               
0               0               0               0               0               
29.8492         -159.892        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               1.93639         0.0252119       0               0               
0               -0.000188245    -3.06841e-05    9.65007e-05     9.17445e-05     
0.000157561     0.000284746     0.000218929     0               0               
0               0               120021          19999.6         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79              0               0.102           0.0471397       157.598         
-160            30              -1.41582e-05    3.05037         8.54652e-06     
3.05037         4.54794e-07     -0.00028982     0.000920511     -9.8598e-06     
-1.33603        -0.486277       -0.770322       16.047          0.770322        
-160            26.9204         0.00220685      2.06364e-07     298.98          
3060.29         2.8949          2.8898          436.94          -15.2592        
-4.02313        15.716          1.30183         -0.0828349      0.0354342       
0.0376424       -0.263652       19982.7         0               1               
0               0               0               0               0               
26.7974         -159.896        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               1.9486          0.0253623       0               0               
0               -0.00193967     0.00794791      0.000993721     0.00094595      
0.00988758      0.00293339      -0.00600824     0               0               
0               0               120021          19982.7         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79.1            0               0.202           0.0503429       179.728         
-160            30.0002         -5.72792e-05    5.69763         -2.4723e-05     
5.69763         -2.45446e-06    -0.000577582    0.00314085      -1.95911e-05    
-2.73585        -0.995768       -1.4819         17.1473         1.4819          
-160            24.2796         0.00472059      2.06406e-07     297.98          
6060.56         2.8899          2.8798          433.94          -15.2179        
-4.39215        15.7194         1.02968         -0.065504       0.0384678       
0.0431883       -0.288618       19965.7         0               1               
0               0               0               0               0               
24.1462         -159.908        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               2.09745         0.0271791       0               0               
0               -0.00179676     0.0274664       0.00085322      0.000943543     
0.0292632       0.00264998      -0.0256697      0               0               
0               0               120021          19965.7         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79.2            0               0.302           0.0565915       227.093         
-160            30.0007         -0.000130948    7.59485         -8.68595e-05    
7.59485         -1.148e-05      -0.000898314    0.00612117      -2.94283e-05    
-4.30109        -1.56547        -2.19746        19.2837         2.19746         
-160            22.391          0.00798444      2.20748e-07     296.98          
9060.83         2.8849          2.8698          430.94          -15.1977        
-4.63884        16.0514         0.920168        -0.0573264      0.0470596       
0.0550404       -0.305233       19948.6         0               1               
0               0               0               0               0               
22.2577         -159.923        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               2.38645         0.0312999       0               0               
0               -0.00167333     0.0488917       0.000683201     0.000990131     
0.0505651       0.00235653      -0.0472184      0               0               
0               0               120021          19948.6         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79.3            0               0.402           0.065852        307.468         
-160            30.0015         -0.000240831    8.69096         -0.000182148    
8.69096         -2.75234e-05    -0.00129599     0.00943755      -3.95416e-05    
-6.1144         -2.22546        -2.96816        22.445          2.96816         
-160            21.3031         0.0124239       2.54051e-07     295.98          
12061.1         2.8799          2.8598          427.94          -15.1999        
-4.74993        16.6756         1.01523         -0.0608812      0.0629355       
0.0753498       -0.312498       19931.2         0               1               
0               0               0               0               0               
21.1784         -159.94         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               2.82214         0.0379632       0               0               
0               -0.001563       0.0655595       0.000515617     0.00104738      
0.0671225       0.00207862      -0.0639965      0               0               
0               0               120021          19931.2         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79.4            0               0.502           0.0781094       432.537         
-160            30.0026         -0.000397253    9.13978         -0.000319803    
9.13978         -5.07986e-05    -0.00182372     0.0126637       -4.98641e-05    
-8.25894        -3.00601        -3.8456         26.6259         3.8456          
-160            20.8608         0.0184611       3.20708e-07     294.98          
15061.4         2.8749          2.8498          424.94          -15.2205        
-4.75823        16.9627         1.0805          -0.0636989      0.0889942       
0.107438        -0.312621       19913.5         0               1               
0               0               0               0               0               
20.7492         -159.955        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               3.41511         0.045956        0               0               
0               -0.00145635     0.0746062       0.000371528     0.00108483      
0.0760625       0.00182788      -0.0731498      0               0               
0               0               120021          19913.4         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79.5            0               0.602           0.0933693       617.976         
-160            30.004          -0.000616373    9.14802         -0.000515039    
9.14802         -8.18838e-05    -0.0025471      0.0153918       -6.00745e-05    
-10.8184        -3.93757        -4.88191        31.8284         4.88191         
-160            20.8574         0.0265183       4.52121e-07     293.98          
18061.8         2.8699          2.8398          421.94          -15.2543        
-4.70903        17.0142         1.11022         -0.0652525      0.129455        
0.155946        -0.308702       19895.3         0               1               
0               0               0               0               0               
20.7601         -159.968        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               4.1802          0.0552827       0               0               
0               -0.00134526     0.0760466       0.000258008     0.00108725      
0.0773919       0.00160327      -0.0747013      0               0               
0               0               120021          19895.3         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79.6            0               0.702           0.111651        883.538         
-160            30.0056         -0.000921382    8.89079         -0.000790447    
8.89079         -0.000122165    -0.00354425     0.0173706       -6.96016e-05    
-13.8769        -5.05076        -6.12971        38.059          6.12971         
-160            21.1183         0.0370174       7.1058e-07      292.98          
21062.3         2.8649          2.8298          418.94          -15.297         
-4.64115        16.9163         1.09433         -0.0646908      0.190048        
0.227029        -0.303402       19876.6         0               1               
0               0               0               0               0               
21.0344         -159.979        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               5.13639         0.0659422       0               0               
0               -0.00122517     0.0717928       0.000174494     0.00105067      
0.0730179       0.00139966      -0.0705676      0               0               
0               0               120021          19876.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79.7            0               0.802           0.13298         1253.13         
-160            30.0074         -0.00134364     8.49056         -0.00117726     
8.49056         -0.000173819    -0.00490231     0.0187169       -7.76521e-05    
-17.519         -6.3764         -7.64223        45.3263         7.64223         
-160            21.5213         0.0503774       1.21064e-06     291.98          
24062.9         2.8599          2.8198          415.94          -15.3455        
-4.58195        16.729          1.02277         -0.0611375      0.27826         
0.328592        -0.298585       19857.2         0               1               
0               0               0               0               0               
21.4493         -159.988        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               6.30662         0.0779223       0               0               
0               -0.00109542     0.0648533       0.000117133     0.000978285     
0.0659487       0.00121255      -0.0637579      0               0               
0               0               120021          19857.1         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79.8            0               0.902           0.157385        1754.9          
-160            30.0093         -0.00192338     8.0245          -0.00171618     
8.0245          -0.000239573    -0.00671112     0.0201183       -8.32439e-05    
-21.83          -7.94545        -9.47333        53.6397         9.47333         
-160            21.9897         0.0670106       2.15068e-06     290.98          
27063.6         2.8549          2.8098          412.94          -15.3979        
-4.54881        16.4897         0.886902        -0.0537851      0.403622        
0.470577        -0.295418       19837.1         0               1               
0               0               0               0               0               
21.9277         -159.995        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               7.71777         0.0911962       0               0               
0               -0.000958587    0.058697        8.12886e-05     0.000877298     
0.0596556       0.00103988      -0.0577384      0               0               
0               0               120021          19837           0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
79.9            0               1.002           0.184891        2421.28         
-160            30.0115         -0.00270961     7.53815         -0.0024575      
7.53815         -0.00032239     -0.00905602     0.0229244       -8.52184e-05    
-26.8952        -9.78904        -11.6775        63.0077         11.6775         
-160            22.4782         0.0873199       3.8567e-06      289.98          
30007.2         2.8499          2.7998          409.94          -15.4529        
-4.55208        16.2204         0.679717        -0.0419051      0.578048        
0.665286        -0.294577       19816.1         0               1               
0               0               0               0               0               
22.4247         -160.001        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               9.40064         0.10572         0               0               
0               -0.000819298    0.0566281       6.2701e-05      0.000756597     
0.0574474       0.000881999     -0.0558088      0               0               
0               0               120021          19816           0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
80              0               1.102           0.214054        3244.34         
-160            30.014          -0.00375874     7.10583         -0.00346008     
7.10583         -0.000428021    -0.0119819      0.0286469       -8.2228e-05     
-32.7864        -11.9333        -14.3011        72.9292         14.3011         
-160            22.912          0.110928        6.79093e-06     288.98          
30147.4         2.8449          2.7898          406.94          -15.5075        
-4.58797        15.9653         0.420419        -0.0263332      0.803379        
0.914164        -0.295855       19794.2         0               1               
0               0               0               0               0               
22.866          -160.005        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               11.2935         0.120848        0               0               
0               -0.000673015    0.0608258       5.84081e-05     0.000614607     
0.0614988       0.000731423     -0.0601528      0               0               
0               0               120021          19794.1         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
80.1            0               1.202           0.243466        4195.66         
-160            30.0173         -0.00512511     6.7545          -0.00478248     
6.7545          -0.000562493    -0.0154012      0.0373777       -7.28993e-05    
-39.5219        -14.3848        -17.3581        82.9344         17.3581         
-160            23.266          0.137183        1.1558e-05      287.98          
30287.7         2.8399          2.7798          403.94          -15.5597        
-4.64269        15.9227         0.38773         -0.0243507      1.07511         
1.21204         -0.298379       19771.3         0               1               
0               0               0               0               0               
23.2255         -160.009        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               13.3179         0.137517        0               0               
0               -0.000526956    0.0695887       6.62677e-05     0.000460688     
0.0701156       0.000593224     -0.0690617      0               0               
0               0               120021          19771.2         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
80.2            0               1.302           0.273124        5277.93         
-160            30.0216         -0.00685266     6.4578          -0.00647402     
6.4578          -0.000728141    -0.0192154      0.04859         -5.60114e-05    
-47.1073        -17.1456        -20.8551        93.0221         20.8551         
-160            23.5665         0.166011        1.89453e-05     286.98          
30428.2         2.8349          2.7698          400.94          -15.6101        
-4.71025        15.954          0.452916        -0.028389       1.39714         
1.56272         -0.301743       19747.5         0               1               
0               0               0               0               0               
23.5303         -160.012        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               15.4771         0.155054        0               0               
0               -0.000394111    0.0805281       8.44265e-05     0.000309685     
0.0809222       0.000478538     -0.080134       0               0               
0               0               120021          19747.4         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
80.3            0               1.402           0.303025        6493.76         
-160            30.027          -0.0089775      6.19948         -0.00857706     
6.19948         -0.00092624     -0.0233704      0.0616503       -3.04888e-05    
-55.548         -20.2178        -24.7987        103.191         24.7987         
-160            23.83           0.197321        2.99055e-05     285.98          
30568.9         2.8299          2.7598          397.94          -15.6591        
-4.78691        15.9854         0.519998        -0.0325295      1.77353         
1.97017         -0.305695       19722.7         0               1               
0               0               0               0               0               
23.7972         -160.014        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               17.7747         0.172899        0               0               
0               -0.000277195    0.0920218       0.0001115       0.000165695     
0.092299        0.000388694     -0.0917446      0               0               
0               0               120021          19722.6         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
80.4            0               1.502           0.333163        7845.62         
-160            30.0339         -0.0115325      5.96899         -0.0111316      
5.96899         -0.00115758     -0.0278556      0.0759869       4.67369e-06     
-64.8492        -23.6032        -29.1957        113.439         29.1957         
-160            24.0671         0.230999        4.5567e-05      284.98          
30709.8         2.8249          2.7498          394.94          -15.7069        
-4.87023        16.0172         0.58891         -0.0367674      2.20845         
2.43845         -0.310069       19696.9         0               1               
0               0               0               0               0               
24.037          -160.016        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               20.214          0.191053        0               0               
0               -0.000173759    0.103106        0.000146445     2.73138e-05     
0.10328         0.000320204     -0.102932       0               0               
0               0               120021          19696.8         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
80.5            0               1.602           0.363535        9335.9          
-160            30.0422         -0.0145509      5.7592          -0.014179       
5.7592          -0.00142283     -0.0326891      0.0911648       5.04974e-05     
-75.0159        -27.3035        -34.0533        123.765         34.0533         
-160            24.2851         0.266918        6.72509e-05     283.98          
30850.8         2.8199          2.7398          391.94          -15.7536        
-4.9585         16.0492         0.659578        -0.0410973      2.70623         
2.97176         -0.314753       19670.1         0               1               
0               0               0               0               0               
24.2572         -160.017        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               22.7981         0.209515        0               0               
0               -7.98013e-05    0.113313        0.000188536     -0.000108735    
0.113393        0.000268337     -0.113233       0               0               
0               0               120021          19670           0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
80.6            0               1.702           0.394135        10966.8         
-160            30.0521         -0.0172741      5.56515         -0.0169695      
5.56515         -0.00164566     -0.00337546     0.106884        0.000104542     
-86.0527        -31.3206        -39.3785        134.167         39.3785         
-160            24.4888         0.304934        9.23533e-05     282.98          
30992           2.8149          2.7298          388.94          -15.7994        
-5.05053        16.0814         0.731878        -0.0455109      3.27131         
3.57439         -0.319667       19642.3         0               1               
0               0               0               0               0               
24.4629         -160.019        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               25.5302         0.228283        0               0               
0               0.00292704      0.122479        0.000236095     -0.00316313     
0.119552        -0.00269095     -0.125406       0               0               
0               0               120021          19642.2         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
80.7            0               1.802           0.424957        12740.3         
-160            30.0636         -0.015951       5.38332         -0.0157501      
5.38332         -0.00147765     0.00833977      0.122922        0.000126828     
-97.9641        -35.6559        -45.1786        144.642         45.1786         
-160            24.682          0.344887        9.77159e-05     281.98          
31133.4         2.8099          2.7198          385.94          -15.8442        
-5.14542        16.1139         0.805529        -0.0499898      3.90822         
4.25071         -0.324752       19613.6         0               1               
0               0               0               0               0               
24.6577         -160.02         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               28.4133         0.247356        0               0               
0               -0.00345931     0.130584        0.000243189     0.00321612      
0.134043        0.00370249      -0.127124       0               0               
0               0               120021          19613.4         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
80.8            0               1.902           0.455994        14658.3         
-160            30.0767         -0.0164621      5.21113         -0.01637        
5.21113         -0.00148682     0.0154111       0.139133        0.000143786     
-110.754        -40.3112        -51.4609        155.188         51.4609         
-160            24.8672         0.386604        0.000113838     280.98          
31274.9         2.8049          2.7098          382.94          -15.888         
-5.2425         16.1466         0.880726        -0.0545458      4.62162         
5.0052          -0.329965       19583.8         0               1               
0               0               0               0               0               
24.8443         -160.021        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               31.4501         0.26673         0               0               
0               0.00186767      0.137688        0.00024159      -0.00210926     
